neighborhood,category,class_name,severity,confidence,lat,lon,source_image
City Heights,Underserved,Longitudinal Crack,Light,0.346,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
City Heights,Underserved,Alligator Crack,Severe,0.291,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.288,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
City Heights,Underserved,Transverse Crack,Light,0.281,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.267,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
City Heights,Underserved,Alligator Crack,Severe,0.833,32.746421,-117.1045,img_0178_S_32-746421_-117-1045_jpg.rf.19a9d15ecab1d6d6e341c8f90ef1a7cb.jpg
City Heights,Underserved,Alligator Crack,Severe,0.419,32.746421,-117.1045,img_0178_S_32-746421_-117-1045_jpg.rf.19a9d15ecab1d6d6e341c8f90ef1a7cb.jpg
City Heights,Underserved,Transverse Crack,Light,0.381,32.746421,-117.1045,img_0178_S_32-746421_-117-1045_jpg.rf.19a9d15ecab1d6d6e341c8f90ef1a7cb.jpg
City Heights,Underserved,Alligator Crack,Severe,0.336,32.746421,-117.1045,img_0178_S_32-746421_-117-1045_jpg.rf.19a9d15ecab1d6d6e341c8f90ef1a7cb.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.412,32.746421,-117.1045,img_0179_W_32-746421_-117-1045_jpg.rf.1be93e458397a272bf3bd2946dce009d.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.369,32.746421,-117.1045,img_0179_W_32-746421_-117-1045_jpg.rf.1be93e458397a272bf3bd2946dce009d.jpg
City Heights,Underserved,Pothole,Severe,0.269,32.746421,-117.103643,img_0180_N_32-746421_-117-103643_jpg.rf.58c451a7a645554628b0bafd6d63a916.jpg
City Heights,Underserved,Pothole,Severe,0.259,32.746421,-117.103643,img_0180_N_32-746421_-117-103643_jpg.rf.58c451a7a645554628b0bafd6d63a916.jpg
City Heights,Underserved,Pothole,Severe,0.514,32.746421,-117.103643,img_0181_E_32-746421_-117-103643_jpg.rf.6b8974c82e203b95e0df725bd9e10c59.jpg
City Heights,Underserved,Pothole,Severe,0.657,32.746421,-117.103643,img_0182_S_32-746421_-117-103643_jpg.rf.4f964c26c6501ee1e9cb260dfebcb1df.jpg
City Heights,Underserved,Pothole,Severe,0.63,32.746421,-117.103643,img_0182_S_32-746421_-117-103643_jpg.rf.4f964c26c6501ee1e9cb260dfebcb1df.jpg
City Heights,Underserved,Pothole,Severe,0.616,32.746421,-117.103643,img_0182_S_32-746421_-117-103643_jpg.rf.4f964c26c6501ee1e9cb260dfebcb1df.jpg
City Heights,Underserved,Pothole,Severe,0.49,32.746421,-117.103643,img_0182_S_32-746421_-117-103643_jpg.rf.4f964c26c6501ee1e9cb260dfebcb1df.jpg
City Heights,Underserved,Pothole,Severe,0.351,32.746421,-117.103643,img_0182_S_32-746421_-117-103643_jpg.rf.4f964c26c6501ee1e9cb260dfebcb1df.jpg
City Heights,Underserved,Pothole,Severe,0.299,32.746421,-117.103643,img_0182_S_32-746421_-117-103643_jpg.rf.4f964c26c6501ee1e9cb260dfebcb1df.jpg
Encanto,Underserved,Alligator Crack,Severe,0.642,32.7064,-117.0757,img_0185_E_32-7064_-117-0757_jpg.rf.fc1fe7dddcd1be9189a09254a0846c68.jpg
Encanto,Underserved,Alligator Crack,Severe,0.359,32.7064,-117.0757,img_0185_E_32-7064_-117-0757_jpg.rf.fc1fe7dddcd1be9189a09254a0846c68.jpg
Encanto,Underserved,Transverse Crack,Light,0.324,32.7064,-117.0757,img_0185_E_32-7064_-117-0757_jpg.rf.fc1fe7dddcd1be9189a09254a0846c68.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.535,32.746421,-117.102786,img_0185_E_32-746421_-117-102786_jpg.rf.d4ff05cf8b46abc9547b208443f4f6c9.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.387,32.746421,-117.102786,img_0185_E_32-746421_-117-102786_jpg.rf.d4ff05cf8b46abc9547b208443f4f6c9.jpg
City Heights,Underserved,Alligator Crack,Severe,0.358,32.746421,-117.102786,img_0185_E_32-746421_-117-102786_jpg.rf.d4ff05cf8b46abc9547b208443f4f6c9.jpg
City Heights,Underserved,Transverse Crack,Light,0.286,32.746421,-117.102786,img_0185_E_32-746421_-117-102786_jpg.rf.d4ff05cf8b46abc9547b208443f4f6c9.jpg
City Heights,Underserved,Alligator Crack,Severe,0.517,32.746421,-117.102786,img_0186_S_32-746421_-117-102786_jpg.rf.96e3d1b87a47b2471e3c9af43c50b7fc.jpg
City Heights,Underserved,Pothole,Severe,0.395,32.746421,-117.102786,img_0186_S_32-746421_-117-102786_jpg.rf.96e3d1b87a47b2471e3c9af43c50b7fc.jpg
City Heights,Underserved,Pothole,Severe,0.28,32.746421,-117.102786,img_0186_S_32-746421_-117-102786_jpg.rf.96e3d1b87a47b2471e3c9af43c50b7fc.jpg
City Heights,Underserved,Pothole,Severe,0.252,32.746421,-117.102786,img_0186_S_32-746421_-117-102786_jpg.rf.96e3d1b87a47b2471e3c9af43c50b7fc.jpg
Encanto,Underserved,Alligator Crack,Severe,0.607,32.7064,-117.0757,img_0187_W_32-7064_-117-0757_jpg.rf.48dd1cf6c8fb023d9f69d125fb40bc4f.jpg
Encanto,Underserved,Alligator Crack,Severe,0.287,32.7064,-117.0757,img_0187_W_32-7064_-117-0757_jpg.rf.48dd1cf6c8fb023d9f69d125fb40bc4f.jpg
Encanto,Underserved,Pothole,Severe,0.547,32.7211,-117.056,img_0188_N_32-7211_-117-056_jpg.rf.49064fc77c1d94611a591caa7bf168a3.jpg
Encanto,Underserved,Alligator Crack,Severe,0.498,32.7211,-117.056,img_0188_N_32-7211_-117-056_jpg.rf.49064fc77c1d94611a591caa7bf168a3.jpg
Encanto,Underserved,Pothole,Severe,0.309,32.7211,-117.056,img_0188_N_32-7211_-117-056_jpg.rf.49064fc77c1d94611a591caa7bf168a3.jpg
City Heights,Underserved,Alligator Crack,Severe,0.688,32.746421,-117.101929,img_0188_N_32-746421_-117-101929_jpg.rf.97c135d97f3d46f64be0fa3bb353c9e1.jpg
City Heights,Underserved,Transverse Crack,Light,0.324,32.746421,-117.101929,img_0189_E_32-746421_-117-101929_jpg.rf.4c396ed616ffbfb2932a79ef9bdb8e80.jpg
City Heights,Underserved,Side_Walk,N/A,0.278,32.746421,-117.101929,img_0189_E_32-746421_-117-101929_jpg.rf.4c396ed616ffbfb2932a79ef9bdb8e80.jpg
Encanto,Underserved,Pothole,Severe,0.498,32.7211,-117.056,img_0190_S_32-7211_-117-056_jpg.rf.4f5beda37f4fbca1361d92c980e73b91.jpg
Encanto,Underserved,Pothole,Severe,0.382,32.7211,-117.056,img_0190_S_32-7211_-117-056_jpg.rf.4f5beda37f4fbca1361d92c980e73b91.jpg
City Heights,Underserved,Transverse Crack,Light,0.508,32.746421,-117.101929,img_0190_S_32-746421_-117-101929_jpg.rf.3fb0513515152cb788376b3b2cf4fa5e.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.411,32.746421,-117.101929,img_0190_S_32-746421_-117-101929_jpg.rf.3fb0513515152cb788376b3b2cf4fa5e.jpg
Encanto,Underserved,Pothole,Severe,0.472,32.7211,-117.056,img_0191_W_32-7211_-117-056_jpg.rf.a8ce897bacae5ef16b60966ec18927ad.jpg
Encanto,Underserved,Pothole,Severe,0.279,32.7211,-117.056,img_0191_W_32-7211_-117-056_jpg.rf.a8ce897bacae5ef16b60966ec18927ad.jpg
Encanto,Underserved,Pothole,Severe,0.267,32.7211,-117.056,img_0191_W_32-7211_-117-056_jpg.rf.a8ce897bacae5ef16b60966ec18927ad.jpg
City Heights,Underserved,Alligator Crack,Severe,0.303,32.746421,-117.101929,img_0191_W_32-746421_-117-101929_jpg.rf.13986f697c2be5593425bf845ce46124.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.259,32.746421,-117.101929,img_0191_W_32-746421_-117-101929_jpg.rf.13986f697c2be5593425bf845ce46124.jpg
Encanto,Underserved,Alligator Crack,Severe,0.736,32.727,-117.0615,img_0192_N_32-727_-117-0615_jpg.rf.15f0adb0d59df54fd312eb62281d1c02.jpg
Encanto,Underserved,Alligator Crack,Severe,0.557,32.727,-117.0615,img_0192_N_32-727_-117-0615_jpg.rf.15f0adb0d59df54fd312eb62281d1c02.jpg
City Heights,Underserved,Alligator Crack,Severe,0.642,32.747141,-117.107928,img_0192_N_32-747141_-117-107928_jpg.rf.a9ce15dd8a8a0b8d79f7b8071e64e411.jpg
City Heights,Underserved,Transverse Crack,Light,0.453,32.747141,-117.107928,img_0192_N_32-747141_-117-107928_jpg.rf.a9ce15dd8a8a0b8d79f7b8071e64e411.jpg
City Heights,Underserved,Alligator Crack,Severe,0.312,32.747141,-117.107928,img_0192_N_32-747141_-117-107928_jpg.rf.a9ce15dd8a8a0b8d79f7b8071e64e411.jpg
City Heights,Underserved,Alligator Crack,Severe,0.277,32.747141,-117.107928,img_0192_N_32-747141_-117-107928_jpg.rf.a9ce15dd8a8a0b8d79f7b8071e64e411.jpg
City Heights,Underserved,Transverse Crack,Light,0.262,32.747141,-117.107928,img_0192_N_32-747141_-117-107928_jpg.rf.a9ce15dd8a8a0b8d79f7b8071e64e411.jpg
City Heights,Underserved,Alligator Crack,Severe,0.254,32.747141,-117.107928,img_0192_N_32-747141_-117-107928_jpg.rf.a9ce15dd8a8a0b8d79f7b8071e64e411.jpg
City Heights,Underserved,Side_Walk,N/A,0.363,32.747141,-117.107928,img_0193_E_32-747141_-117-107928_jpg.rf.e7acdf9d0893eb023039b1fba11e9bb0.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.643,32.747141,-117.107928,img_0194_S_32-747141_-117-107928_jpg.rf.410e4134433f49e3e5975be3f61d779c.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.591,32.747141,-117.107928,img_0194_S_32-747141_-117-107928_jpg.rf.410e4134433f49e3e5975be3f61d779c.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.384,32.747141,-117.107928,img_0194_S_32-747141_-117-107928_jpg.rf.410e4134433f49e3e5975be3f61d779c.jpg
City Heights,Underserved,Alligator Crack,Severe,0.384,32.747141,-117.107928,img_0194_S_32-747141_-117-107928_jpg.rf.410e4134433f49e3e5975be3f61d779c.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.62,32.747141,-117.107071,img_0196_N_32-747141_-117-107071_jpg.rf.7c68267e02d55241cb19fb2073ce7331.jpg
City Heights,Underserved,Transverse Crack,Light,0.481,32.747141,-117.107071,img_0196_N_32-747141_-117-107071_jpg.rf.7c68267e02d55241cb19fb2073ce7331.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.423,32.747141,-117.107071,img_0196_N_32-747141_-117-107071_jpg.rf.7c68267e02d55241cb19fb2073ce7331.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.28,32.747141,-117.107071,img_0196_N_32-747141_-117-107071_jpg.rf.7c68267e02d55241cb19fb2073ce7331.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.415,32.747141,-117.107071,img_0197_E_32-747141_-117-107071_jpg.rf.ca5c7dcf24f2bd7751409cbbebbba2ba.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.367,32.747141,-117.107071,img_0197_E_32-747141_-117-107071_jpg.rf.ca5c7dcf24f2bd7751409cbbebbba2ba.jpg
City Heights,Underserved,Alligator Crack,Severe,0.525,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.389,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
City Heights,Underserved,Transverse Crack,Light,0.359,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
